Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
It  an employee attending to the donation center fell from a trailer and sustained shoulder and neck injuries. The employee died.,High,Fall (from elevation) caused by Position Inappropriate For Task,"SHOULDER, NECK, FALL, STRUCK AGAINST, TRAILER",
"It  an employee climbing an extension ladder to frame around a wood stove ""B"" vent on a roof, fell from the top of the 23-foot ladder to the ground. He sustained head trauma and was killed.",High,Fall (from elevation) caused by Ladder Failure/Slip,"FALL PROTECTION, HEAD, ROOF, LADDER",
"It  an employee was working from a deeper under a traitor trailer truck loosening brake shoe adjustments. He was preparing to change brake drums when the traitor trailer truck fell off the jacks, crushing the employee's abdomen.",High,Caught in or between caused by Overhead Moving/Falling Object Action,"CRUSHING, MECHANIC, MAINTENANCE, JACK, ABDOMEN, ASPHYXIATED, TRAILER TRUCK, CAUGHT BETWEEN, BLOCKS, STRUCK BY",
"It  employee #1 of Utility Group of South Carolina lifted a debris tank from the back of a 1995 Word Sac truck, model #L8000, to repair an area underneath the tank. The truck was used to vacuum the senate out of the senate lines for inspection. There were rushed out holes in the end of the tank closet to the cab of the truck. Employee used a sawzall to cut the tank to replace the section. Prior to leaving for lunch, employee #1 and another employee lifted the tank using the hydraulic lever controls located on the side of the truck near the cab on the driver's side. Employee informed employee #2 that the hydraulic horses to the tank were bad and leaking. The truck was leaking hydraulic fluid before the two employees went to lunch. Employee was on the back of the truck between the debris tank and the cab, working on the hydraulic horses. Employee heard a hissing sound coming from the bay area and Employee immediately screamed for help. Employee was pinned between the debris tank and the cab on the back of the Sac truck. Employee was on his hands and knees and the debris tank was on his side. The controls would not work to lift the tank off of employee #1. In order for the controls to be operational, the truck must be on at the time. When the other employee turned the truck on, the controls still did not work. Employee died from asphyxiation due to a crushing injury to his chest.",High,Caught in or between caused by Pinch Point Action,"ASPHYXIATED, CHEST, MAINTENANCE, CRUSHED, CAUGHT BETWEEN, VEHICLE, BLOCKS",
It  an employee was trimming limbs from an oak tree. The employee fell from a limb into a bush where a branch penetrated the employee's neck and killed him.,High,Fall (from elevation) caused by Safety Devices Removed/Inoperable,"TREE TRIMMING, FALL PROTECTION, IMPALED, NECK, FALL",
"It  an employee fell from a ladder while pressure cleaning a roof.The employee landed on his head on the ground, sustaining a concussion. The employee died. concussion. The employee died.",High,Fall (from elevation) caused by Ladder Failure/Slip,"CONCUSSION, ROOF, HEAD, FALL, FALL PROTECTION, LADDER",
"It  an employee who just arrived at the worksite was existing a truck, slipped on ice, and struck his head on the shalt parking lot. Following the incident, the employee told co-workers about the incident and said did not feel well. The employee was admitted to the hospital, developed a coma, and died , from blunt force trauma to the head.",High,"Fall (same level) caused by Weather, Earthquake, Etc.","SLIP, SLIPPERY SURFACE, STRUCK AGAINST, FALL, HEAD, ASPHALT, ANEURISM, VEHICLE",
It  a painter who was served legal papers returned to work and shot employees in the workplace. The painter was shot by police and died.,High,Burn caused by Temperature +/- Tolerance Lev.,"WORKPLACE VIOLENCE, GUNSHOT",
"It approximately  an employee being elevated in a personnel lifting platform suspended from a truck, mounted a 5-ton capacity crane and fell. The crane was operated by the company owner. The employee was elevated approximately 15 feet above ground level and was cutting a small branch off of a tree using manual garden coppers. While the employee was being lifted an additional 2-3 feet, the hook screwed from the bottom wives overhauled ball. The employee fell to the ground with the platform. The employee struck the metal railing on the man basket which caused fractured ribs to puncture a lung. The company owner contracted 911. State Police, County EMS, and a coroner arrived. The employee was pronounced dead at the scene.",High,Struck against caused by Materials Handling Equip./Method,"RIB, BROKEN CABLE, CHEST, ELEVATED WORK PLATFORM, FALL PROTECTION, LUNG, FALL, CRANE, STRUCK AGAINST",
"It  a superintendent (employee #1), was operating an all terrain vehicle (ATV) with three employees as passengers, on a dry river bed. While traveling at a high rate of speed the ATV hit an embankment. The four employees were ejected from the ATV. Employee was killed, and the three other employees were injured.",High,Struck-by caused by Mobile Equipment Operation,"SEAT BELT, ATV, ROLL-OVER, VEHICLE",
It  an employee was troubleshooting a hotel air conditioning and heating unit without a lookout/tag out system. The employee received an electrical shock from a 277/120 vol electrical system while repairing the unit in a hotel guest room. The employee was not using insulated or intrinsically safe tools during the live troubleshooting. The employee's liver and lungs were affected by the shock. He was killed.,High,Shock caused by Work-Surface/Facility-Layout Condition,"ELECTRICAL, INSULATED TOOL, LOCKOUT/TAGOUT, ELECTROCUTED",
"It  an employee was adjusting the pitch of a tiller by going in between the tiller and traitor. The employee was caught in the running blades of the tiller and pulled in, receiving amputations. He was killed.",High,"Caught in or between caused by Misjudgment, Hazardous Situation","CAUGHT IN, AMPUTATION, CRUSHING, AGRICULTURE MACHINERY/VEHICLE, LOCKOUT/TAGOUT, MACHINE GUARDING, AGRICULTURE",
It  an employee crawled underneath a truck to mentally manipulate the transmission in order to put the truck into reverse. The truck rolled backwards onto the employee catching him between the tire and pavement. The employee was killed.,High,Caught in or between caused by Catch Point/Puncture Action,"VEHICLE, CHOCK, CAUGHT BETWEEN, MAINTENANCE, MECHANIC, CRUSHED, WHEEL",
It  an employee was looking for nails and was struck by a dump truck that was backing up to unload dirt. The employee received injuries to the head and abdomen and died.,High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, INATTENTION, HEAD, ABDOMEN, BACK-UP ALARM, CONSTRUCTION VEHICLE",
"It  an employee, while preparing to perform routine maintenance on an elevator, was struck by a falling elevator car and pinned against a ladder and a beam. The employee sustained crushing injuries to the head and was killed.",High,Struck-by caused by Overhead Moving/Falling Object Action,"PINNED, STRUCK BY, LOCKOUT/TAGOUT, MAINTENANCE, ELEVATOR",
"It  an employee working alone, was performing maintenance by trouble shooting the air flow of the exhaust hood above an oven located in a kitchen. The employee went outside of the building and entered the riser room for access to a roof. The employee placed the ladder on the east wall of the riser room and his bucket on the ground towards the south. The employee was carrying two new Dayton Premium V-Belts, model number 4L220, that matched the belt for the exhaust hood on the roof. The employee fell backwards to the concrete floor while climbing the ladder, sustaining injuries. According to the medical examiner, the employee had wounds to the posterior of the head and the left wrist was fractured. It is undetermined how far the employee fell. A 6-foot Dusky ladder was found placed against a 15-foot fixed ladder attached at a 90 degree angle in the riser room. The employee was killed.",High,Fall (from elevation) caused by Equipment Inappropriate For Operation,"STRUCK AGAINST, LADDER, MAINTENANCE, HEAD, FRACTURE, WRIST, CONCRETE, FALL",
It  an employee was found responsive in the bottom of a testing vessel/continent box containing liquid nitrogen. The employee died.,High,Inhalation caused by Gas/Vapor/Mist/Fume/Smoke/Dust,"OXYGEN DEFICIENCY, CONFINED SPACE, ASPHYXIATED, SUFFOCATED",
